State,state_abbrev,gov_appoint,legis_confirm,appointment_notes,release_authority,authority_notes,authority_links,open_hearing,file_available_to_public,file_available_to_prisoner,reason_issued,transparency_notes,transparency_links
Alabama ,AL,Yes,Yes,http://codes.lp.findlaw.com/alcode/15/22/2/15-22-20,Yes,,,Yes,No,No,No,"New law, going into effect January 30, 2016, does require the board issue a reason for denial.",
Alaska,AK,Yes,Yes,http://www.legis.state.ak.us/basis/folioproxy.asp?url=http://wwwjnu01.legis.state.ak.us/cgi-bin/folioisa.dll/stattx04/query=*/doc/{t13343},Yes,,http://www.legis.state.ak.us/basis/aac.asp#22.20.005,No,No,Yes,Yes,"6/17/15 email from Jeffrey Edwards | 33.16.130 (b) & (c): ""The prisoner shall be furnished a copy of the preparole reports listed in AS 33.16.110, and permitted access to all records that will be considered by the board in making its decision except those that are made confidential by law...The board shall issue its decision in writing and provide the basis for a denial of discretionary parole.""",http://www.legis.state.ak.us/basis/folioproxy.asp?url=http://wwwjnu01.legis.state.ak.us/cgi-bin/folioisa.dll/stattx04/query=*/doc/{t13343}
Arizona,AZ,Yes,Yes,https://boec.az.gov/about,Very limited,Only people whose offense was committed before 1/1/94,https://boec.az.gov/about,Yes,UCC,UCC,Yes,"PUBLIC RECORDS REQUEST (NOT ALL INFORMATION IS ACCESSIBLE SUCH AS CRIMINAL HISTORY REPORTS, MEDICAL | AN INMATE WOULD ALSO HAVE TO MAKE A FORMAL PUBLIC RECORDS REQUEST FOR DOCUMENTS OUT OF THEIR FILE",
Arkansas,AR,Yes,Yes,http://paroleboard.arkansas.gov/AboutUs/Pages/default.aspx,Limited,"Inmates who, on or after January 1, 1994, commit any Homicide, Sexual Assault in the First Degree, Sexual Assault in the Second Degree, Battery in the First Degree, Domestic Battery in the First Degree, class Y Kidnapping, class Y Rape, Aggravated Robbery, Causing a Catastrophe, Engaging in a Continuing Criminal Enterprise, and Simultaneous Possession of Drugs and Firearms are eligible for discretionary parole.",http://paroleboard.arkansas.gov/FAQs/Pages/default.aspx,No,Yes,Yes,Yes,"A new transparency law will allow an online search of parole records, allowing access to such documents as the inmates criminal history, institutional record, and risk assessment.",
California,CA,Yes,Yes,http://www.cdcr.ca.gov/BOPH/,Very Limited,Lifers only; subject to approval by the Governor,http://www.cdcr.ca.gov/BOPH/lifer_parole_process.html,UCC,No,Yes,Yes,"Parole board hearings are not open to the public per se. ""They‰Ûªre open to the media, therefore the public can get information,"" according to Luis Patino, a spokesman for CDCR.",
Colorado,CO,Yes,Yes,https://www.colorado.gov/pacific/sites/default/files/C.R.S.%2017-2-201.pdf,Yes,"""the parole board is responsible for reviewing offenders of all classes for parole. Unless their sentence was life without parole, All offenders become eligible to meet the parole board at some point during their incarceration.""",,Yes,Yes,Yes,No,"Meetings and Hearings are open to the public unless the Board convenes in Executive Session | Re: the files, ""Confidential information would be redacted,"" according to Adrienne Jacobson of the Colorado DOC.",https://www.colorado.gov/pacific/paroleboard/node/8071
Connecticut,CT,Yes,Yes,,Limited,Everyone except those convicted of murder or 1st degree rape.,http://www.ct.gov/bopp/cwp/view.asp?a=4330&q=508186,Yes,Yes,Yes,Yes,,http://www.ct.gov/bopp/cwp/view.asp?a=4330&q=508118
Delaware,DE,Yes,Yes,http://boardofparole.delaware.gov/,Very limited,Only offenses committed before parole was abolished 6/30/90,http://boardofparole.delaware.gov/rules.shtml,No,No,No,Yes,"""Files are considered privileged and only a court order‰ÛÓan appeal to the court submitting the reasons for the request--can provide access to the files. Includes inmate himself,"" according to Johnette Graf at the Delaware Parole Board. ""The statute clearly states that our records are privileged.""",
Florida,FL,Yes,Yes,,Very limited,All inmates whose crimes were committed prior to 10/1/83; plus various people who committed various crimes before various dates,https://www.fcor.state.fl.us/release-types.shtml,Yes,Yes,Yes,Yes,,
Georgia,GA,Yes,Yes,http://pap.georgia.gov/about,Yes,,http://pap.georgia.gov/parole-consideration-eligibility-guidelines,n/a,No,No,No,No parole hearings; solely file review.,
Hawaii,HI,Yes,Yes,,Yes,"The class of inmates eligible for parole are offenders sentences for Class C (5 years), Class B (10 years), Class A (20 years), and those sentenced to ‰ÛÏlife with the possibility of parole.‰Ûù Only excluded are It is the LWOP and those that are serving court ordered mandatory minimum sentences. Once an offender serving LWOP has served 20 years imprisonment, the HPA automatically completes a commutation application requesting the Governor commute the sentence with LWP so a minimum sentence can be set.",,UCC,Yes,Yes,Yes,"Parole hearings are not open to the public, but if there is compelling public interest from the media, the HPA can and have routinely authorized media coverage of parole consideration hearings with certain limitations...Records maintained by the HPA for offenders are both, personal and government records. Members of the public are free to copies of records, which are reviewed on a case-by-case basis.åÊ However, not all records in possession of the HPA pertaining to offenders are releasable under the FOIA.",
Idaho,ID,Yes,Yes,http://adminrules.idaho.gov/rules/current/50/0101.pdf,Yes,"An offender committed to the department of correction, who has a consecutive sentence and one (1) or more commitments do not have a fixed minimum term to serve prior to parole eligibility, may be considered for institutional parole while remaining incarcerated.",http://adminrules.idaho.gov/rules/current/50/0101.pdf,Yes,No,No,No,,
Illinois,IL,Yes,Yes,https://www.illinois.gov/idoc/parole/Pages/PrisonerReviewBoard.aspx,No,Only offenders sentened before 2/1/78; fewer than 300 inmates remain under the old system,https://www.illinois.gov/prb/Pages/prboverview.aspx,Yes,UCC,UCC,Yes,,
Indiana,IN,Yes,No,,No,The Board has jurisdiction over all offenders who committed their crimes before October 1977 (referred to as ‰ÛÏold code‰Ûù offenders).,http://www.in.gov/idoc/2324.htm,Yes,Yes,Yes,Yes,"""Parts of it are. Part of it is confidential medical information of the offender. Part of it is victim information; we‰Ûªre not going to release that. Other parts we would go through and redact based upon whether they met an exclusion criteria but generally it is available."" Charles Miller, board lawyer",
